,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,first_time
16,16,mfeat-karhunen,1,1,active,ARFF,200.0,10.0,200.0,10.0,65.0,2000.0,0.0,0.0,64.0,1.0,0.07100629806518555
18,18,mfeat-morphological,1,1,active,ARFF,200.0,10.0,200.0,10.0,7.0,2000.0,0.0,0.0,6.0,1.0,0.04298853874206543
20,20,mfeat-pixel,1,1,active,ARFF,200.0,10.0,200.0,10.0,241.0,2000.0,0.0,0.0,0.0,241.0,0.18203377723693848
22,22,mfeat-zernike,1,1,active,ARFF,200.0,10.0,200.0,10.0,48.0,2000.0,0.0,0.0,47.0,1.0,0.05597066879272461
23,23,cmc,1,1,active,ARFF,629.0,4.0,333.0,3.0,10.0,1473.0,0.0,0.0,2.0,8.0,0.06302666664123535
24,24,mushroom,1,1,active,ARFF,4208.0,12.0,3916.0,2.0,23.0,8124.0,2480.0,2480.0,0.0,23.0,0.05634450912475586
25,25,colic,1,1,active,ARFF,232.0,63.0,136.0,2.0,27.0,368.0,361.0,1927.0,7.0,20.0,0.05887484550476074
26,26,nursery,1,1,active,ARFF,4320.0,5.0,2.0,5.0,9.0,12960.0,0.0,0.0,0.0,9.0,0.04607868194580078
27,27,colic,2,1,active,ARFF,232.0,6.0,136.0,2.0,23.0,368.0,361.0,1927.0,7.0,16.0,0.04856538772583008
28,28,optdigits,1,1,active,ARFF,572.0,10.0,554.0,10.0,65.0,5620.0,0.0,0.0,64.0,1.0,0.053734540939331055
29,29,credit-approval,1,1,active,ARFF,383.0,14.0,307.0,2.0,16.0,690.0,37.0,67.0,6.0,10.0,0.04199981689453125
30,30,page-blocks,1,1,active,ARFF,4913.0,5.0,28.0,5.0,11.0,5473.0,0.0,0.0,10.0,1.0,0.03896522521972656
31,31,credit-g,1,1,active,ARFF,700.0,10.0,300.0,2.0,21.0,1000.0,0.0,0.0,7.0,14.0,0.044029951095581055
32,32,pendigits,1,1,active,ARFF,1144.0,10.0,1055.0,10.0,17.0,10992.0,0.0,0.0,16.0,1.0,0.04300069808959961
34,34,postoperative-patient-data,1,1,active,ARFF,64.0,4.0,2.0,3.0,9.0,90.0,3.0,3.0,0.0,9.0,0.03797459602355957
35,35,dermatology,1,1,active,ARFF,112.0,6.0,20.0,6.0,35.0,366.0,8.0,8.0,1.0,34.0,0.055029869079589844
36,36,segment,1,1,active,ARFF,330.0,7.0,330.0,7.0,20.0,2310.0,0.0,0.0,19.0,1.0,0.04199504852294922
37,37,diabetes,1,1,active,ARFF,500.0,2.0,268.0,2.0,9.0,768.0,0.0,0.0,8.0,1.0,0.03999805450439453
38,38,sick,1,1,active,ARFF,3541.0,5.0,231.0,2.0,30.0,3772.0,3772.0,6064.0,7.0,23.0,0.06297564506530762
39,39,ecoli,1,1,active,ARFF,143.0,8.0,2.0,8.0,8.0,336.0,0.0,0.0,7.0,1.0,0.039998769760131836
40,40,sonar,1,1,active,ARFF,111.0,2.0,97.0,2.0,61.0,208.0,0.0,0.0,60.0,1.0,0.0449979305267334
41,41,glass,1,1,active,ARFF,76.0,6.0,9.0,6.0,10.0,214.0,0.0,0.0,9.0,1.0,0.040000200271606445
42,42,soybean,1,1,active,ARFF,92.0,19.0,8.0,19.0,36.0,683.0,121.0,2337.0,0.0,36.0,0.057027339935302734
43,43,haberman,1,1,active,ARFF,225.0,12.0,81.0,2.0,4.0,306.0,0.0,0.0,2.0,2.0,0.03397202491760254
44,44,spambase,1,1,active,ARFF,2788.0,2.0,1813.0,2.0,58.0,4601.0,0.0,0.0,57.0,1.0,0.05100083351135254
46,46,splice,1,1,active,ARFF,1655.0,6.0,767.0,3.0,61.0,3190.0,0.0,0.0,0.0,61.0,0.11499857902526855
48,48,tae,1,1,active,ARFF,52.0,3.0,49.0,3.0,6.0,151.0,0.0,0.0,3.0,3.0,0.0410008430480957
49,49,heart-c,1,1,active,ARFF,165.0,4.0,138.0,2.0,14.0,303.0,7.0,7.0,6.0,8.0,0.043996572494506836
50,50,tic-tac-toe,1,1,active,ARFF,626.0,3.0,332.0,2.0,10.0,958.0,0.0,0.0,0.0,10.0,0.04103851318359375
51,51,heart-h,1,1,active,ARFF,188.0,4.0,106.0,2.0,14.0,294.0,293.0,782.0,6.0,8.0,0.05100202560424805
52,52,trains,1,1,active,ARFF,5.0,8.0,5.0,2.0,33.0,10.0,7.0,51.0,0.0,33.0,0.05396580696105957
53,53,heart-statlog,1,1,active,ARFF,150.0,2.0,120.0,2.0,14.0,270.0,0.0,0.0,13.0,1.0,0.039000511169433594
54,54,vehicle,1,1,active,ARFF,218.0,4.0,199.0,4.0,19.0,846.0,0.0,0.0,18.0,1.0,0.04599642753601074
55,55,hepatitis,1,1,active,ARFF,123.0,2.0,32.0,2.0,20.0,155.0,75.0,167.0,6.0,14.0,0.049999237060546875
56,56,vote,1,1,active,ARFF,267.0,2.0,168.0,2.0,17.0,435.0,203.0,392.0,0.0,17.0,0.05103468894958496
57,57,hypothyroid,1,1,active,ARFF,3481.0,5.0,2.0,4.0,30.0,3772.0,3772.0,6064.0,7.0,23.0,0.05300021171569824
59,59,ionosphere,1,1,active,ARFF,225.0,2.0,126.0,2.0,35.0,351.0,0.0,0.0,34.0,1.0,0.03799915313720703
60,60,waveform-5000,1,1,active,ARFF,1692.0,3.0,1653.0,3.0,41.0,5000.0,0.0,0.0,40.0,1.0,0.044965267181396484
61,61,iris,1,1,active,ARFF,50.0,3.0,50.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0,0.03699970245361328
62,62,zoo,1,1,active,ARFF,41.0,7.0,4.0,7.0,17.0,101.0,0.0,0.0,1.0,16.0,0.047000885009765625
70,70,"BNG(anneal,nominal,1000000)",1,1,active,ARFF,759513.0,10.0,597.0,6.0,39.0,1000000.0,0.0,0.0,0.0,39.0,0.2700309753417969
71,71,"BNG(anneal.ORIG,nominal,1000000)",1,1,active,ARFF,759513.0,9.0,597.0,6.0,39.0,1000000.0,0.0,0.0,0.0,39.0,0.28300976753234863
72,72,BNG(kr-vs-kp),1,1,active,ARFF,521875.0,3.0,478125.0,2.0,37.0,1000000.0,0.0,0.0,0.0,37.0,0.31395816802978516
73,73,"BNG(labor,nominal,1000000)",1,1,active,ARFF,645520.0,3.0,354480.0,2.0,17.0,1000000.0,0.0,0.0,0.0,17.0,0.15299725532531738
74,74,"BNG(letter,nominal,1000000)",1,1,active,ARFF,40828.0,26.0,36483.0,26.0,17.0,1000000.0,0.0,0.0,0.0,17.0,0.1570432186126709
75,75,"BNG(autos,nominal,1000000)",1,1,active,ARFF,323286.0,22.0,2430.0,7.0,26.0,1000000.0,0.0,0.0,0.0,26.0,0.20595645904541016
76,76,"BNG(lymph,nominal,1000000)",1,1,active,ARFF,543512.0,8.0,16553.0,4.0,19.0,1000000.0,0.0,0.0,0.0,19.0,0.16308355331420898
77,77,"BNG(breast-cancer,nominal,1000000)",1,1,active,ARFF,702823.0,13.0,297177.0,2.0,10.0,1000000.0,0.0,0.0,0.0,10.0,0.11197781562805176
78,78,"BNG(mfeat-fourier,nominal,1000000)",1,1,active,ARFF,100595.0,10.0,99773.0,10.0,77.0,1000000.0,0.0,0.0,0.0,77.0,0.5020291805267334
115,115,"BNG(mfeat-karhunen,nominal,1000000)",1,1,active,ARFF,100393.0,10.0,99523.0,10.0,65.0,1000000.0,0.0,0.0,0.0,65.0,0.4841268062591553
116,116,"BNG(bridges_version1,nominal,1000000)",1,1,active,ARFF,422711.0,108.0,95098.0,6.0,13.0,1000000.0,0.0,0.0,0.0,13.0,0.12303471565246582
117,117,"BNG(bridges_version2,nominal,1000000)",1,1,active,ARFF,422711.0,108.0,95098.0,6.0,13.0,1000000.0,0.0,0.0,0.0,13.0,0.1749706268310547
118,118,"BNG(mfeat-zernike,nominal,1000000)",1,1,active,ARFF,100380.0,10.0,99430.0,10.0,48.0,1000000.0,0.0,0.0,0.0,48.0,0.37299585342407227
119,119,"BNG(cmc,nominal,55296)",1,1,active,ARFF,23655.0,4.0,12555.0,3.0,10.0,55296.0,0.0,0.0,0.0,10.0,0.05003619194030762
120,120,BNG(mushroom),1,1,active,ARFF,518298.0,12.0,481702.0,2.0,23.0,1000000.0,0.0,0.0,0.0,23.0,0.1884140968322754
121,121,"BNG(colic.ORIG,nominal,1000000)",1,1,active,ARFF,662777.0,338.0,337223.0,2.0,28.0,1000000.0,0.0,0.0,0.0,28.0,0.252105712890625
122,122,"BNG(colic,nominal,1000000)",1,1,active,ARFF,629653.0,6.0,370347.0,2.0,23.0,1000000.0,0.0,0.0,0.0,23.0,0.21076154708862305
123,123,BNG(optdigits),1,1,active,ARFF,101675.0,10.0,98637.0,10.0,65.0,1000000.0,0.0,0.0,0.0,65.0,0.4780004024505615
124,124,"BNG(credit-a,nominal,1000000)",1,1,active,ARFF,554898.0,14.0,445102.0,2.0,16.0,1000000.0,0.0,0.0,0.0,16.0,0.20600152015686035
125,125,"BNG(page-blocks,nominal,295245)",1,1,active,ARFF,265211.0,5.0,1558.0,5.0,11.0,295245.0,0.0,0.0,0.0,11.0,0.07799482345581055
126,126,"BNG(credit-g,nominal,1000000)",1,1,active,ARFF,699587.0,11.0,300413.0,2.0,21.0,1000000.0,0.0,0.0,0.0,21.0,0.19512152671813965
127,127,"BNG(pendigits,nominal,1000000)",1,1,active,ARFF,104573.0,10.0,95300.0,10.0,17.0,1000000.0,0.0,0.0,0.0,17.0,0.18599152565002441
128,128,"BNG(cylinder-bands,nominal,1000000)",1,1,active,ARFF,577023.0,429.0,422977.0,2.0,40.0,1000000.0,0.0,0.0,0.0,40.0,0.2980048656463623
129,129,"BNG(dermatology,nominal,1000000)",1,1,active,ARFF,304611.0,6.0,54922.0,6.0,35.0,1000000.0,0.0,0.0,0.0,35.0,0.2800009250640869
130,130,BNG(segment),1,1,active,ARFF,143586.0,7.0,142366.0,7.0,20.0,1000000.0,0.0,0.0,0.0,20.0,0.16996407508850098
131,131,"BNG(sick,nominal,1000000)",1,1,active,ARFF,938761.0,5.0,61239.0,2.0,30.0,1000000.0,0.0,0.0,0.0,30.0,0.25203442573547363
132,132,"BNG(sonar,nominal,1000000)",1,1,active,ARFF,533556.0,3.0,466444.0,2.0,61.0,1000000.0,0.0,0.0,0.0,61.0,0.4206242561340332
133,133,"BNG(glass,nominal,137781)",1,1,active,ARFF,48277.0,7.0,307.0,7.0,10.0,137781.0,0.0,0.0,0.0,10.0,0.052602291107177734
134,134,BNG(soybean),1,1,active,ARFF,133345.0,19.0,12441.0,19.0,36.0,1000000.0,0.0,0.0,0.0,36.0,0.2701833248138428
135,135,BNG(spambase),1,1,active,ARFF,605948.0,3.0,394052.0,2.0,58.0,1000000.0,0.0,0.0,0.0,58.0,0.401047945022583
136,136,"BNG(heart-c,nominal,1000000)",1,1,active,ARFF,540810.0,5.0,1618.0,5.0,14.0,1000000.0,0.0,0.0,0.0,14.0,0.1260242462158203
137,137,BNG(tic-tac-toe),1,1,active,ARFF,25702.0,3.0,13664.0,2.0,10.0,39366.0,0.0,0.0,0.0,10.0,0.04497647285461426
138,138,"BNG(heart-h,nominal,1000000)",1,1,active,ARFF,634862.0,5.0,1659.0,5.0,14.0,1000000.0,0.0,0.0,0.0,14.0,0.12853741645812988
139,139,BNG(trains),1,1,active,ARFF,501119.0,8.0,498881.0,2.0,33.0,1000000.0,0.0,0.0,0.0,33.0,0.2545912265777588
140,140,"BNG(heart-statlog,nominal,1000000)",1,1,active,ARFF,554324.0,3.0,445676.0,2.0,14.0,1000000.0,0.0,0.0,0.0,14.0,0.13073372840881348
141,141,"BNG(vehicle,nominal,1000000)",1,1,active,ARFF,258113.0,4.0,234833.0,4.0,19.0,1000000.0,0.0,0.0,0.0,19.0,0.16674137115478516
142,142,"BNG(hepatitis,nominal,1000000)",1,1,active,ARFF,791048.0,3.0,208952.0,2.0,20.0,1000000.0,0.0,0.0,0.0,20.0,0.17061924934387207
143,143,BNG(vote),1,1,active,ARFF,80409.0,2.0,50663.0,2.0,17.0,131072.0,0.0,0.0,0.0,17.0,0.06700468063354492
144,144,"BNG(hypothyroid,nominal,1000000)",1,1,active,ARFF,922578.0,5.0,677.0,4.0,30.0,1000000.0,0.0,0.0,0.0,30.0,0.23584461212158203
146,146,BNG(ionosphere),1,1,active,ARFF,641025.0,3.0,358975.0,2.0,35.0,1000000.0,0.0,0.0,0.0,35.0,0.2734711170196533
147,147,"BNG(waveform-5000,nominal,1000000)",1,1,active,ARFF,337805.0,3.0,330548.0,3.0,41.0,1000000.0,0.0,0.0,0.0,41.0,0.3139615058898926
148,148,"BNG(zoo,nominal,1000000)",1,1,active,ARFF,396212.0,100.0,42992.0,7.0,18.0,1000000.0,0.0,0.0,0.0,18.0,0.7771713733673096
149,149,CovPokElec,1,1,active,ARFF,654548.0,10.0,2.0,10.0,73.0,1455525.0,0.0,0.0,22.0,51.0,1.1292729377746582
150,150,covertype,3,1,active,ARFF,283301.0,7.0,2747.0,7.0,55.0,581012.0,0.0,0.0,10.0,45.0,0.3230266571044922
151,151,electricity,1,1,active,ARFF,26075.0,7.0,19237.0,2.0,9.0,45312.0,0.0,0.0,7.0,2.0,0.05400657653808594
152,152,Hyperplane_10_1E-3,1,1,active,ARFF,500007.0,2.0,499993.0,2.0,11.0,1000000.0,0.0,0.0,10.0,1.0,0.2767927646636963
153,153,Hyperplane_10_1E-4,1,1,active,ARFF,500166.0,2.0,499834.0,2.0,11.0,1000000.0,0.0,0.0,10.0,1.0,0.27131009101867676
154,154,LED(50000),1,1,active,ARFF,100824.0,10.0,99427.0,10.0,25.0,1000000.0,0.0,0.0,0.0,25.0,0.20900607109069824
155,155,pokerhand,1,1,active,ARFF,415526.0,10.0,2.0,10.0,11.0,829201.0,0.0,0.0,5.0,6.0,0.17199444770812988
156,156,RandomRBF_0_0,1,1,active,ARFF,300096.0,5.0,92713.0,5.0,11.0,1000000.0,0.0,0.0,10.0,1.0,0.2974066734313965
157,157,RandomRBF_10_1E-3,1,1,active,ARFF,300096.0,5.0,92713.0,5.0,11.0,1000000.0,0.0,0.0,10.0,1.0,0.30649781227111816
158,158,RandomRBF_10_1E-4,1,1,active,ARFF,300096.0,5.0,92713.0,5.0,11.0,1000000.0,0.0,0.0,10.0,1.0,0.29503726959228516
159,159,RandomRBF_50_1E-3,1,1,active,ARFF,300096.0,5.0,92713.0,5.0,11.0,1000000.0,0.0,0.0,10.0,1.0,0.29001641273498535
160,160,RandomRBF_50_1E-4,1,1,active,ARFF,300096.0,5.0,92713.0,5.0,11.0,1000000.0,0.0,0.0,10.0,1.0,0.28503847122192383
161,161,SEA(50),1,1,active,ARFF,614342.0,2.0,385658.0,2.0,4.0,1000000.0,0.0,0.0,3.0,1.0,0.1485288143157959
162,162,SEA(50000),1,1,active,ARFF,614332.0,2.0,385668.0,2.0,4.0,1000000.0,0.0,0.0,3.0,1.0,0.15523195266723633
163,163,lung-cancer,1,1,active,ARFF,13.0,4.0,9.0,3.0,57.0,32.0,5.0,5.0,0.0,57.0,0.06969261169433594
164,164,molecular-biology_promoters,1,1,active,ARFF,53.0,4.0,53.0,2.0,59.0,106.0,0.0,0.0,0.0,59.0,0.07401800155639648
171,171,primary-tumor,1,1,active,ARFF,84.0,21.0,1.0,21.0,18.0,339.0,207.0,225.0,0.0,18.0,0.05308794975280762
172,172,shuttle-landing-control,1,1,active,ARFF,9.0,4.0,6.0,2.0,7.0,15.0,9.0,26.0,0.0,7.0,0.04203605651855469
179,179,adult,1,1,active,ARFF,37155.0,41.0,11687.0,2.0,15.0,48842.0,3620.0,6465.0,2.0,13.0,0.059066057205200195
180,180,covertype,1,1,active,ARFF,51682.0,7.0,1339.0,7.0,55.0,110393.0,0.0,0.0,14.0,41.0,0.12146878242492676
181,181,yeast,1,1,active,ARFF,463.0,10.0,5.0,10.0,9.0,1484.0,0.0,0.0,8.0,1.0,0.042867183685302734
182,182,satimage,1,1,active,ARFF,1531.0,6.0,625.0,6.0,37.0,6430.0,0.0,0.0,36.0,1.0,0.0509793758392334
183,183,abalone,1,1,active,ARFF,689.0,28.0,1.0,28.0,9.0,4177.0,0.0,0.0,7.0,2.0,0.04301714897155762
184,184,kropt,1,1,active,ARFF,4553.0,18.0,27.0,18.0,7.0,28056.0,0.0,0.0,0.0,7.0,0.04996633529663086
185,185,baseball,1,1,active,ARFF,1215.0,7.0,57.0,3.0,18.0,1340.0,20.0,20.0,15.0,3.0,0.05000019073486328
186,186,braziltourism,1,1,active,ARFF,318.0,7.0,1.0,7.0,9.0,412.0,49.0,96.0,4.0,5.0,0.03800249099731445
187,187,wine,1,1,active,ARFF,71.0,3.0,48.0,3.0,14.0,178.0,0.0,0.0,13.0,1.0,0.03799557685852051
188,188,eucalyptus,1,1,active,ARFF,214.0,27.0,105.0,5.0,20.0,736.0,95.0,448.0,14.0,6.0,0.04300403594970703
189,189,kin8nm,1,1,active,ARFF,,,,0.0,9.0,8192.0,0.0,0.0,9.0,0.0,0.04899787902832031
190,190,mbagrade,1,1,active,ARFF,,2.0,,0.0,3.0,61.0,0.0,0.0,2.0,1.0,0.046000003814697266
191,191,wisconsin,1,1,active,ARFF,,,,0.0,33.0,194.0,0.0,0.0,33.0,0.0,0.04800105094909668
192,192,vineyard,1,1,active,ARFF,,,,0.0,4.0,52.0,0.0,0.0,4.0,0.0,0.038002967834472656
193,193,bolts,1,1,active,ARFF,,,,0.0,8.0,40.0,0.0,0.0,8.0,0.0,0.03999590873718262
194,194,cleveland,1,1,active,ARFF,,4.0,,0.0,14.0,303.0,6.0,6.0,7.0,7.0,0.041997671127319336
195,195,auto_price,1,1,active,ARFF,,6.0,,0.0,16.0,159.0,0.0,0.0,15.0,1.0,0.0410003662109375
196,196,autoMpg,1,1,active,ARFF,,13.0,,0.0,8.0,398.0,6.0,6.0,5.0,3.0,0.06100630760192871
197,197,cpu_act,1,1,active,ARFF,,,,0.0,22.0,8192.0,0.0,0.0,22.0,0.0,0.060997962951660156
198,198,delta_elevators,1,1,active,ARFF,,,,0.0,7.0,9517.0,0.0,0.0,7.0,0.0,0.04200029373168945
199,199,fruitfly,1,1,active,ARFF,,3.0,,0.0,5.0,125.0,0.0,0.0,3.0,2.0,0.0449981689453125
200,200,pbc,1,1,active,ARFF,,4.0,,0.0,19.0,418.0,142.0,1239.0,11.0,8.0,0.0449986457824707
201,201,pol,1,1,active,ARFF,,,,0.0,49.0,15000.0,0.0,0.0,49.0,0.0,0.054006338119506836
202,202,autoHorse,1,1,active,ARFF,,,,,,,,,,,0.07710528373718262
203,203,lowbwt,1,1,active,ARFF,,6.0,,0.0,10.0,189.0,0.0,0.0,3.0,7.0,0.04296875
204,204,cholesterol,1,1,active,ARFF,,4.0,,0.0,14.0,303.0,6.0,6.0,7.0,7.0,0.04503130912780762
205,205,sleep,1,1,active,ARFF,,,,0.0,8.0,62.0,11.0,12.0,8.0,0.0,0.03897428512573242
206,206,triazines,1,1,active,ARFF,,,,0.0,61.0,186.0,0.0,0.0,61.0,0.0,0.04930830001831055
207,207,autoPrice,1,1,active,ARFF,,,,0.0,16.0,159.0,0.0,0.0,16.0,0.0,0.03903913497924805
208,208,detroit,1,1,active,ARFF,,,,0.0,14.0,13.0,0.0,0.0,14.0,0.0,0.036988258361816406
209,209,quake,1,1,active,ARFF,,,,0.0,4.0,2178.0,0.0,0.0,4.0,0.0,0.03700089454650879
210,210,cloud,1,1,active,ARFF,,4.0,,0.0,7.0,108.0,0.0,0.0,5.0,2.0,0.03797411918640137
211,211,longley,1,1,active,ARFF,,,,0.0,7.0,16.0,0.0,0.0,7.0,0.0,0.03401756286621094
212,212,diabetes_numeric,1,1,active,ARFF,,,,0.0,3.0,43.0,0.0,0.0,3.0,0.0,0.03579068183898926
213,213,pharynx,1,1,active,ARFF,,184.0,,0.0,12.0,195.0,2.0,2.0,2.0,10.0,0.04302477836608887
214,214,baskball,1,1,active,ARFF,,,,0.0,5.0,96.0,0.0,0.0,5.0,0.0,0.03997492790222168
215,215,2dplanes,1,1,active,ARFF,,,,0.0,11.0,40768.0,0.0,0.0,11.0,0.0,0.06433916091918945
216,216,elevators,1,1,active,ARFF,,,,0.0,19.0,16599.0,0.0,0.0,19.0,0.0,0.06300044059753418
217,217,pyrim,1,1,active,ARFF,,,,0.0,28.0,74.0,0.0,0.0,28.0,0.0,0.0441131591796875
218,218,house_8L,1,1,active,ARFF,,,,0.0,9.0,22784.0,0.0,0.0,9.0,0.0,0.04704999923706055
222,222,echoMonths,1,1,active,ARFF,,2.0,,0.0,10.0,130.0,69.0,97.0,7.0,3.0,0.04200029373168945
223,223,stock,1,1,active,ARFF,,,,0.0,10.0,950.0,0.0,0.0,10.0,0.0,0.04246854782104492
224,224,breastTumor,1,1,active,ARFF,,18.0,,0.0,10.0,286.0,9.0,9.0,2.0,8.0,0.043027639389038086
225,225,puma8NH,1,1,active,ARFF,,,,0.0,9.0,8192.0,0.0,0.0,9.0,0.0,0.04097461700439453
226,226,gascons,1,1,active,ARFF,,,,0.0,5.0,27.0,0.0,0.0,5.0,0.0,0.03800010681152344
227,227,cpu_small,1,1,active,ARFF,,,,0.0,13.0,8192.0,0.0,0.0,13.0,0.0,0.043000221252441406
228,228,elusage,1,1,active,ARFF,,12.0,,0.0,3.0,55.0,0.0,0.0,2.0,1.0,0.03299880027770996
229,229,pwLinear,1,1,active,ARFF,,,,0.0,11.0,200.0,0.0,0.0,11.0,0.0,0.03500008583068848
230,230,machine_cpu,1,1,active,ARFF,,,,0.0,7.0,209.0,0.0,0.0,7.0,0.0,0.03900027275085449
231,231,hungarian,1,1,active,ARFF,,4.0,,0.0,14.0,294.0,293.0,782.0,7.0,7.0,0.0430295467376709
232,232,fishcatch,1,1,active,ARFF,,7.0,,0.0,8.0,158.0,87.0,87.0,6.0,2.0,0.04196929931640625
244,244,BNG(anneal),1,1,active,ARFF,759652.0,10.0,555.0,6.0,39.0,1000000.0,0.0,0.0,6.0,33.0,0.39428043365478516
245,245,BNG(anneal.ORIG),2,1,active,ARFF,759652.0,9.0,555.0,6.0,39.0,1000000.0,0.0,0.0,6.0,33.0,0.4076261520385742
246,246,BNG(labor),2,1,active,ARFF,647000.0,3.0,353000.0,2.0,17.0,1000000.0,0.0,0.0,8.0,9.0,0.2468719482421875
247,247,BNG(letter),2,1,active,ARFF,40765.0,26.0,36811.0,26.0,17.0,1000000.0,0.0,0.0,16.0,1.0,0.36066651344299316
248,248,BNG(autos),1,1,active,ARFF,323554.0,22.0,2441.0,7.0,26.0,1000000.0,0.0,0.0,15.0,11.0,0.38216185569763184
249,249,BNG(lymph),1,1,active,ARFF,543495.0,8.0,16508.0,4.0,19.0,1000000.0,0.0,0.0,3.0,16.0,0.24184036254882812
250,250,BNG(mfeat-fourier),1,1,active,ARFF,100515.0,10.0,99530.0,10.0,77.0,1000000.0,0.0,0.0,76.0,1.0,1.343691110610962
251,251,BNG(breast-w),1,1,active,ARFF,25820.0,2.0,13546.0,2.0,10.0,39366.0,0.0,0.0,9.0,1.0,0.04996466636657715
252,252,BNG(mfeat-karhunen),1,1,active,ARFF,100410.0,10.0,99545.0,10.0,65.0,1000000.0,0.0,0.0,64.0,1.0,1.1335415840148926
253,253,BNG(bridges_version1),1,1,active,ARFF,423139.0,108.0,95207.0,6.0,13.0,1000000.0,0.0,0.0,3.0,10.0,0.19650840759277344
254,254,BNG(mfeat-zernike),1,1,active,ARFF,100289.0,10.0,99797.0,10.0,48.0,1000000.0,0.0,0.0,47.0,1.0,0.8478095531463623
255,255,BNG(cmc),1,1,active,ARFF,23567.0,4.0,12447.0,3.0,10.0,55296.0,0.0,0.0,2.0,8.0,0.044996023178100586
256,256,BNG(colic.ORIG),1,1,active,ARFF,637594.0,338.0,362406.0,2.0,28.0,1000000.0,0.0,0.0,7.0,21.0,0.2974224090576172
257,257,BNG(colic),1,1,active,ARFF,630221.0,6.0,369779.0,2.0,23.0,1000000.0,0.0,0.0,7.0,16.0,0.28205227851867676
258,258,BNG(credit-a),1,1,active,ARFF,554008.0,14.0,445992.0,2.0,16.0,1000000.0,0.0,0.0,6.0,10.0,0.23703694343566895
259,259,BNG(page-blocks),1,1,active,ARFF,265174.0,5.0,1486.0,5.0,11.0,295245.0,0.0,0.0,10.0,1.0,0.11400341987609863
260,260,BNG(credit-g),1,1,active,ARFF,699774.0,11.0,300226.0,2.0,21.0,1000000.0,0.0,0.0,7.0,14.0,0.28655195236206055
261,261,BNG(pendigits),1,1,active,ARFF,104513.0,10.0,95594.0,10.0,17.0,1000000.0,0.0,0.0,16.0,1.0,0.3291466236114502
262,262,BNG(cylinder-bands),1,1,active,ARFF,578062.0,429.0,421938.0,2.0,40.0,1000000.0,0.0,0.0,18.0,22.0,0.5500397682189941
263,263,BNG(dermatology),1,1,active,ARFF,304589.0,6.0,55693.0,6.0,35.0,1000000.0,0.0,0.0,1.0,34.0,0.35858654975891113
264,264,BNG(sonar),1,1,active,ARFF,532538.0,2.0,467462.0,2.0,61.0,1000000.0,0.0,0.0,60.0,1.0,1.2179999351501465
265,265,BNG(glass),1,1,active,ARFF,48774.0,7.0,313.0,7.0,10.0,137781.0,0.0,0.0,9.0,1.0,0.0810086727142334
266,266,BNG(heart-c),1,1,active,ARFF,541436.0,5.0,1609.0,5.0,14.0,1000000.0,0.0,0.0,6.0,8.0,0.22997689247131348
