,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,first_time,first_time_1,OUT
53,53,heart-statlog,1,1,active,ARFF,150,2,120,2,14,270,0,0,13,1,0.197831869,0.039000511,FALSE
54,54,vehicle,1,1,active,ARFF,218,4,199,4,19,846,0,0,18,1,0.207367182,0.045996428,FALSE
55,55,hepatitis,1,1,active,ARFF,123,2,32,2,20,155,75,167,6,14,0.191020012,0.049999237,FALSE
56,56,vote,1,1,active,ARFF,267,2,168,2,17,435,203,392,0,17,0.21558857,0.051034689,FALSE
57,57,hypothyroid,1,1,active,ARFF,3481,5,2,4,30,3772,3772,6064,7,23,0.444135427,0.053000212,FALSE
59,59,ionosphere,1,1,active,ARFF,225,2,126,2,35,351,0,0,34,1,0.196999788,0.037999153,FALSE
60,60,waveform-5000,1,1,active,ARFF,1692,3,1653,3,41,5000,0,0,40,1,0.562864542,0.044965267,FALSE
61,61,iris,1,1,active,ARFF,50,3,50,3,5,150,0,0,4,1,0.18332696,0.036999702,FALSE
62,62,zoo,1,1,active,ARFF,41,7,4,7,17,101,0,0,1,16,0.199836731,0.047000885,FALSE
70,70,"BNG(anneal,nominal,1000000)",1,1,active,ARFF,759513,10,597,6,39,1000000,0,0,0,39,124.5194182,0.270030975,FALSE
71,71,"BNG(anneal.ORIG,nominal,1000000)",1,1,active,ARFF,759513,9,597,6,39,1000000,0,0,0,39,93.20282102,0.283009768,FALSE
72,72,BNG(kr-vs-kp),1,1,active,ARFF,521875,3,478125,2,37,1000000,0,0,0,37,50.72825098,0.313958168,FALSE
73,73,"BNG(labor,nominal,1000000)",1,1,active,ARFF,645520,3,354480,2,17,1000000,0,0,0,17,62.89759302,0.152997255,FALSE
74,74,"BNG(letter,nominal,1000000)",1,1,active,ARFF,40828,26,36483,26,17,1000000,0,0,0,17,90.0420208,0.157043219,FALSE
75,75,"BNG(autos,nominal,1000000)",1,1,active,ARFF,323286,22,2430,7,26,1000000,0,0,0,26,107.3985791,0.205956459,FALSE
76,76,"BNG(lymph,nominal,1000000)",1,1,active,ARFF,543512,8,16553,4,19,1000000,0,0,0,19,52.38296127,0.163083553,FALSE
77,77,"BNG(breast-cancer,nominal,1000000)",1,1,active,ARFF,702823,13,297177,2,10,1000000,0,0,0,10,19.62734175,0.111977816,FALSE
78,78,"BNG(mfeat-fourier,nominal,1000000)",1,1,active,ARFF,100595,10,99773,10,77,1000000,0,0,0,77,414.0993237,0.502029181,FALSE
115,115,"BNG(mfeat-karhunen,nominal,1000000)",1,1,active,ARFF,100393,10,99523,10,65,1000000,0,0,0,65,356.6366806,0.484126806,FALSE
116,116,"BNG(bridges_version1,nominal,1000000)",1,1,active,ARFF,422711,108,95098,6,13,1000000,0,0,0,13,39.88182831,0.123034716,FALSE
117,117,"BNG(bridges_version2,nominal,1000000)",1,1,active,ARFF,422711,108,95098,6,13,1000000,0,0,0,13,22.22384,0.174970627,FALSE
118,118,"BNG(mfeat-zernike,nominal,1000000)",1,1,active,ARFF,100380,10,99430,10,48,1000000,0,0,0,48,267.0013974,0.372995853,FALSE
119,119,"BNG(cmc,nominal,55296)",1,1,active,ARFF,23655,4,12555,3,10,55296,0,0,0,10,1.880727768,0.050036192,FALSE
120,120,BNG(mushroom),1,1,active,ARFF,518298,12,481702,2,23,1000000,0,0,0,23,33.22111344,0.188414097,FALSE
121,121,"BNG(colic.ORIG,nominal,1000000)",1,1,active,ARFF,662777,338,337223,2,28,1000000,0,0,0,28,84.22955084,0.252105713,FALSE
122,122,"BNG(colic,nominal,1000000)",1,1,active,ARFF,629653,6,370347,2,23,1000000,0,0,0,23,88.53514218,0.210761547,FALSE
123,123,BNG(optdigits),1,1,active,ARFF,101675,10,98637,10,65,1000000,0,0,0,65,355.6622233,0.478000402,FALSE
124,124,"BNG(credit-a,nominal,1000000)",1,1,active,ARFF,554898,14,445102,2,16,1000000,0,0,0,16,56.76650381,0.20600152,FALSE
125,125,"BNG(page-blocks,nominal,295245)",1,1,active,ARFF,265211,5,1558,5,11,295245,0,0,0,11,18.34516048,0.077994823,FALSE
126,126,"BNG(credit-g,nominal,1000000)",1,1,active,ARFF,699587,11,300413,2,21,1000000,0,0,0,21,92.4647367,0.195121527,FALSE
127,127,"BNG(pendigits,nominal,1000000)",1,1,active,ARFF,104573,10,95300,10,17,1000000,0,0,0,17,85.68774343,0.185991526,FALSE
128,128,"BNG(cylinder-bands,nominal,1000000)",1,1,active,ARFF,577023,429,422977,2,40,1000000,0,0,0,40,151.5964484,0.298004866,FALSE
129,129,"BNG(dermatology,nominal,1000000)",1,1,active,ARFF,304611,6,54922,6,35,1000000,0,0,0,35,73.97066164,0.280000925,FALSE
130,130,BNG(segment),1,1,active,ARFF,143586,7,142366,7,20,1000000,0,0,0,20,106.5058327,0.169964075,FALSE
131,131,"BNG(sick,nominal,1000000)",1,1,active,ARFF,938761,5,61239,2,30,1000000,0,0,0,30,81.42488837,0.252034426,FALSE
132,132,"BNG(sonar,nominal,1000000)",1,1,active,ARFF,533556,3,466444,2,61,1000000,0,0,0,61,372.8260052,0.420624256,FALSE
133,133,"BNG(glass,nominal,137781)",1,1,active,ARFF,48277,7,307,7,10,137781,0,0,0,10,9.05200696,0.052602291,FALSE
134,134,BNG(soybean),1,1,active,ARFF,133345,19,12441,19,36,1000000,0,0,0,36,65.64111567,0.270183325,FALSE
135,135,BNG(spambase),1,1,active,ARFF,605948,3,394052,2,58,1000000,0,0,0,58,320.186903,0.401047945,FALSE
136,136,"BNG(heart-c,nominal,1000000)",1,1,active,ARFF,540810,5,1618,5,14,1000000,0,0,0,14,55.49961758,0.126024246,FALSE
137,137,BNG(tic-tac-toe),1,1,active,ARFF,25702,3,13664,2,10,39366,0,0,0,10,0.994837523,0.044976473,FALSE
138,138,"BNG(heart-h,nominal,1000000)",1,1,active,ARFF,634862,5,1659,5,14,1000000,0,0,0,14,53.46746588,0.128537416,FALSE
139,139,BNG(trains),1,1,active,ARFF,501119,8,498881,2,33,1000000,0,0,0,33,51.31447649,0.254591227,FALSE
140,140,"BNG(heart-statlog,nominal,1000000)",1,1,active,ARFF,554324,3,445676,2,14,1000000,0,0,0,14,82.41874051,0.130733728,FALSE
141,141,"BNG(vehicle,nominal,1000000)",1,1,active,ARFF,258113,4,234833,4,19,1000000,0,0,0,19,103.7532899,0.166741371,FALSE
142,142,"BNG(hepatitis,nominal,1000000)",1,1,active,ARFF,791048,3,208952,2,20,1000000,0,0,0,20,63.64419293,0.170619249,FALSE
143,143,BNG(vote),1,1,active,ARFF,80409,2,50663,2,17,131072,0,0,0,17,3.324701548,0.067004681,FALSE
144,144,"BNG(hypothyroid,nominal,1000000)",1,1,active,ARFF,922578,5,677,4,30,1000000,0,0,0,30,94.44113684,0.235844612,FALSE
146,146,BNG(ionosphere),1,1,active,ARFF,641025,3,358975,2,35,1000000,0,0,0,35,211.6790798,0.273471117,FALSE
147,147,"BNG(waveform-5000,nominal,1000000)",1,1,active,ARFF,337805,3,330548,3,41,1000000,0,0,0,41,251.5427203,0.313961506,FALSE
148,148,"BNG(zoo,nominal,1000000)",1,1,active,ARFF,396212,100,42992,7,18,1000000,0,0,0,18,42.74774289,0.777171373,FALSE
149,149,CovPokElec,1,1,active,ARFF,654548,10,2,10,73,1455525,0,0,22,51,120.5575671,1.129272938,FALSE
150,150,covertype,3,1,active,ARFF,283301,7,2747,7,55,581012,0,0,10,45,38.82348442,0.323026657,FALSE
151,151,electricity,1,1,active,ARFF,26075,7,19237,2,9,45312,0,0,7,2,0.829033852,0.054006577,FALSE
152,152,Hyperplane_10_1E-3,1,1,active,ARFF,500007,2,499993,2,11,1000000,0,0,10,1,21.05972123,0.276792765,FALSE
153,153,Hyperplane_10_1E-4,1,1,active,ARFF,500166,2,499834,2,11,1000000,0,0,10,1,20.34109092,0.271310091,FALSE
154,154,LED(50000),1,1,active,ARFF,100824,10,99427,10,25,1000000,0,0,0,25,35.47621751,0.209006071,FALSE
155,155,pokerhand,1,1,active,ARFF,415526,10,2,10,11,829201,0,0,5,6,11.18556976,0.171994448,FALSE
156,156,RandomRBF_0_0,1,1,active,ARFF,300096,5,92713,5,11,1000000,0,0,10,1,21.46604347,0.297406673,FALSE
157,157,RandomRBF_10_1E-3,1,1,active,ARFF,300096,5,92713,5,11,1000000,0,0,10,1,21.26690531,0.306497812,FALSE
158,158,RandomRBF_10_1E-4,1,1,active,ARFF,300096,5,92713,5,11,1000000,0,0,10,1,21.4501071,0.29503727,FALSE
159,159,RandomRBF_50_1E-3,1,1,active,ARFF,300096,5,92713,5,11,1000000,0,0,10,1,21.06618285,0.290016413,FALSE
160,160,RandomRBF_50_1E-4,1,1,active,ARFF,300096,5,92713,5,11,1000000,0,0,10,1,21.0906024,0.285038471,FALSE
161,161,SEA(50),1,1,active,ARFF,614342,2,385658,2,4,1000000,0,0,3,1,10.21841502,0.148528814,FALSE
162,162,SEA(50000),1,1,active,ARFF,614332,2,385668,2,4,1000000,0,0,3,1,9.498123884,0.155231953,FALSE
163,163,lung-cancer,1,1,active,ARFF,13,4,9,3,57,32,5,5,0,57,0.279034138,0.069692612,FALSE
164,164,molecular-biology_promoters,1,1,active,ARFF,53,4,53,2,59,106,0,0,0,59,0.292084932,0.074018002,FALSE
171,171,primary-tumor,1,1,active,ARFF,84,21,1,21,18,339,207,225,0,18,0.220188618,0.05308795,FALSE
172,172,shuttle-landing-control,1,1,active,ARFF,9,4,6,2,7,15,9,26,0,7,0.203795671,0.042036057,FALSE
179,179,adult,1,1,active,ARFF,37155,41,11687,2,15,48842,3620,6465,2,13,1.388065338,0.059066057,FALSE
180,180,covertype,1,1,active,ARFF,51682,7,1339,7,55,110393,0,0,14,41,6.938719034,0.121468782,FALSE
181,181,yeast,1,1,active,ARFF,463,10,5,10,9,1484,0,0,8,1,0.253544569,0.042867184,FALSE
182,182,satimage,1,1,active,ARFF,1531,6,625,6,37,6430,0,0,36,1,0.532131672,0.050979376,FALSE
183,183,abalone,1,1,active,ARFF,689,28,1,28,9,4177,0,0,7,2,0.278004885,0.043017149,FALSE
184,184,kropt,1,1,active,ARFF,4553,18,27,18,7,28056,0,0,0,7,0.636293888,0.049966335,FALSE
185,185,baseball,1,1,active,ARFF,1215,7,57,3,18,1340,20,20,15,3,0.254926205,0.050000191,FALSE
186,186,braziltourism,1,1,active,ARFF,318,7,1,7,9,412,49,96,4,5,0.197021008,0.038002491,FALSE
187,187,wine,1,1,active,ARFF,71,3,48,3,14,178,0,0,13,1,0.213004827,0.037995577,FALSE
188,188,eucalyptus,1,1,active,ARFF,214,27,105,5,20,736,95,448,14,6,0.211004019,0.043004036,FALSE
189,189,kin8nm,1,1,active,ARFF,,,,0,9,8192,0,0,9,0,0.357614279,0.048997879,FALSE
190,190,mbagrade,1,1,active,ARFF,,2,,0,3,61,0,0,2,1,0.18753314,0.046000004,FALSE
191,191,wisconsin,1,1,active,ARFF,,,,0,33,194,0,0,33,0,0.198992729,0.048001051,FALSE
192,192,vineyard,1,1,active,ARFF,,,,0,4,52,0,0,4,0,0.189611673,0.038002968,FALSE
193,193,bolts,1,1,active,ARFF,,,,0,8,40,0,0,8,0,0.195063829,0.039995909,FALSE
194,194,cleveland,1,1,active,ARFF,,4,,0,14,303,6,6,7,7,0.209979296,0.041997671,FALSE
195,195,auto_price,1,1,active,ARFF,,6,,0,16,159,0,0,15,1,0.176990271,0.041000366,FALSE
196,196,autoMpg,1,1,active,ARFF,,13,,0,8,398,6,6,5,3,0.237782001,0.061006308,FALSE
197,197,cpu_act,1,1,active,ARFF,,,,0,22,8192,0,0,22,0,0.539990902,0.060997963,FALSE
198,198,delta_elevators,1,1,active,ARFF,,,,0,7,9517,0,0,7,0,0.296679974,0.042000294,FALSE
199,199,fruitfly,1,1,active,ARFF,,3,,0,5,125,0,0,3,2,0.196974039,0.044998169,FALSE
200,200,pbc,1,1,active,ARFF,,4,,0,19,418,142,1239,11,8,0.231003761,0.044998646,FALSE
201,201,pol,1,1,active,ARFF,,,,0,49,15000,0,0,49,0,0.69885397,0.054006338,FALSE
202,202,autoHorse,1,1,active,ARFF,,,,,,,,,,,0.19581008,0.077105284,FALSE
203,203,lowbwt,1,1,active,ARFF,,6,,0,10,189,0,0,3,7,0.191746235,0.04296875,FALSE
204,204,cholesterol,1,1,active,ARFF,,4,,0,14,303,6,6,7,7,0.20903945,0.045031309,FALSE
205,205,sleep,1,1,active,ARFF,,,,0,8,62,11,12,8,0,0.180000782,0.038974285,FALSE
206,206,triazines,1,1,active,ARFF,,,,0,61,186,0,0,61,0,0.217010498,0.0493083,FALSE
207,207,autoPrice,1,1,active,ARFF,,,,0,16,159,0,0,16,0,0.17999649,0.039039135,FALSE
208,208,detroit,1,1,active,ARFF,,,,0,14,13,0,0,14,0,0.183716536,0.036988258,FALSE
209,209,quake,1,1,active,ARFF,,,,0,4,2178,0,0,4,0,0.187602043,0.037000895,FALSE
210,210,cloud,1,1,active,ARFF,,4,,0,7,108,0,0,5,2,0.197199583,0.037974119,FALSE
211,211,longley,1,1,active,ARFF,,,,0,7,16,0,0,7,0,0.188977242,0.034017563,FALSE
212,212,diabetes_numeric,1,1,active,ARFF,,,,0,3,43,0,0,3,0,0.189006329,0.035790682,FALSE
213,213,pharynx,1,1,active,ARFF,,184,,0,12,195,2,2,2,10,0.209438801,0.043024778,FALSE
214,214,baskball,1,1,active,ARFF,,,,0,5,96,0,0,5,0,0.189612627,0.039974928,FALSE
215,215,2dplanes,1,1,active,ARFF,,,,0,11,40768,0,0,11,0,0.643850327,0.064339161,FALSE
216,216,elevators,1,1,active,ARFF,,,,0,19,16599,0,0,19,0,0.710051298,0.063000441,FALSE
217,217,pyrim,1,1,active,ARFF,,,,0,28,74,0,0,28,0,0.191897869,0.044113159,FALSE
218,218,house_8L,1,1,active,ARFF,,,,0,9,22784,0,0,9,0,0.652713776,0.047049999,FALSE
222,222,echoMonths,1,1,active,ARFF,,2,,0,10,130,69,97,7,3,0.187005997,0.042000294,FALSE
223,223,stock,1,1,active,ARFF,,,,0,10,950,0,0,10,0,0.192001104,0.042468548,FALSE
224,224,breastTumor,1,1,active,ARFF,,18,,0,10,286,9,9,2,8,0.249793053,0.043027639,FALSE
225,225,puma8NH,1,1,active,ARFF,,,,0,9,8192,0,0,9,0,0.323127508,0.040974617,FALSE
226,226,gascons,1,1,active,ARFF,,,,0,5,27,0,0,5,0,0.181044817,0.038000107,FALSE
227,227,cpu_small,1,1,active,ARFF,,,,0,13,8192,0,0,13,0,0.40396595,0.043000221,FALSE
228,228,elusage,1,1,active,ARFF,,12,,0,3,55,0,0,2,1,0.181972265,0.0329988,FALSE
229,229,pwLinear,1,1,active,ARFF,,,,0,11,200,0,0,11,0,0.205031395,0.035000086,FALSE
230,230,machine_cpu,1,1,active,ARFF,,,,0,7,209,0,0,7,0,0.183007717,0.039000273,FALSE
231,231,hungarian,1,1,active,ARFF,,4,,0,14,294,293,782,7,7,0.193984509,0.043029547,FALSE
232,232,fishcatch,1,1,active,ARFF,,7,,0,8,158,87,87,6,2,0.191987753,0.041969299,FALSE
244,244,BNG(anneal),1,1,active,ARFF,759652,10,555,6,39,1000000,0,0,6,33,94.29450583,0.394280434,FALSE
245,245,BNG(anneal.ORIG),2,1,active,ARFF,759652,9,555,6,39,1000000,0,0,6,33,48.43128419,0.407626152,FALSE
246,246,BNG(labor),2,1,active,ARFF,647000,3,353000,2,17,1000000,0,0,8,9,24.16730428,0.246871948,FALSE
247,247,BNG(letter),2,1,active,ARFF,40765,26,36811,26,17,1000000,0,0,16,1,26.92175651,0.360666513,FALSE
248,248,BNG(autos),1,1,active,ARFF,323554,22,2441,7,26,1000000,0,0,15,11,45.14080501,0.382161856,FALSE
249,249,BNG(lymph),1,1,active,ARFF,543495,8,16508,4,19,1000000,0,0,3,16,28.1506412,0.241840363,FALSE
250,250,BNG(mfeat-fourier),1,1,active,ARFF,100515,10,99530,10,77,1000000,0,0,76,1,127.2653,1.343691111,FALSE
251,251,BNG(breast-w),1,1,active,ARFF,25820,2,13546,2,10,39366,0,0,9,1,0.705827236,0.049964666,FALSE
252,252,BNG(mfeat-karhunen),1,1,active,ARFF,100410,10,99545,10,65,1000000,0,0,64,1,131.6599994,1.133541584,FALSE
253,253,BNG(bridges_version1),1,1,active,ARFF,423139,108,95207,6,13,1000000,0,0,3,10,21.70695448,0.196508408,FALSE
254,254,BNG(mfeat-zernike),1,1,active,ARFF,100289,10,99797,10,48,1000000,0,0,47,1,93.00673223,0.847809553,FALSE
255,255,BNG(cmc),1,1,active,ARFF,23567,4,12447,3,10,55296,0,0,2,8,1.069310665,0.044996023,FALSE
256,256,BNG(colic.ORIG),1,1,active,ARFF,637594,338,362406,2,28,1000000,0,0,7,21,42.74134398,0.297422409,FALSE
257,257,BNG(colic),1,1,active,ARFF,630221,6,369779,2,23,1000000,0,0,7,16,60.89840269,0.282052279,FALSE
258,258,BNG(credit-a),1,1,active,ARFF,554008,14,445992,2,16,1000000,0,0,6,10,25.04089165,0.237036943,FALSE
259,259,BNG(page-blocks),1,1,active,ARFF,265174,5,1486,5,11,295245,0,0,10,1,6.900469303,0.11400342,FALSE
260,260,BNG(credit-g),1,1,active,ARFF,699774,11,300226,2,21,1000000,0,0,7,14,55.40350199,0.286551952,FALSE
261,261,BNG(pendigits),1,1,active,ARFF,104513,10,95594,10,17,1000000,0,0,16,1,28.82462859,0.329146624,FALSE
262,262,BNG(cylinder-bands),1,1,active,ARFF,578062,429,421938,2,40,1000000,0,0,18,22,63.48305273,0.550039768,FALSE
263,263,BNG(dermatology),1,1,active,ARFF,304589,6,55693,6,35,1000000,0,0,1,34,47.92838526,0.35858655,FALSE
264,264,BNG(sonar),1,1,active,ARFF,532538,2,467462,2,61,1000000,0,0,60,1,101.1378155,1.217999935,FALSE
265,265,BNG(glass),1,1,active,ARFF,48774,7,313,7,10,137781,0,0,9,1,3.732925415,0.081008673,FALSE
266,266,BNG(heart-c),1,1,active,ARFF,541436,5,1609,5,14,1000000,0,0,6,8,23.14337134,0.229976892,FALSE
267,267,BNG(heart-statlog),1,1,active,ARFF,555946,2,444054,2,14,1000000,0,0,13,1,19.11915207,0.318011761,FALSE
268,268,BNG(vehicle),1,1,active,ARFF,257546,4,235618,4,19,1000000,0,0,18,1,36.3148365,0.448990107,FALSE
269,269,BNG(hepatitis),1,1,active,ARFF,792183,2,207817,2,20,1000000,0,0,6,14,31.06759858,0.268002748,FALSE
271,271,BNG(waveform-5000),1,1,active,ARFF,338402,3,330606,3,41,1000000,0,0,40,1,81.71568418,0.748377323,FALSE
272,272,BNG(zoo),1,1,active,ARFF,396504,100,42792,7,18,1000000,0,0,1,17,28.17733717,0.818998575,FALSE
273,273,IMDB.drama,1,1,active,Sparse_ARFF,77140,2,43779,2,1002,120919,0,0,1001,1,7.62569809,0.97102499,FALSE
274,274,20_newsgroups.drift,1,1,active,ARFF,379943,2,19997,2,1002,399940,0,0,0,1001,478.2723441,1.746973038,FALSE
275,275,meta_all.arff,1,1,active,ARFF,42,6,2,6,63,71,0,0,62,1,0.229387522,0.058995724,FALSE
276,276,meta_batchincremental.arff,1,1,active,ARFF,50,4,3,4,63,74,0,0,62,1,0.225631475,0.052997828,FALSE
277,277,meta_ensembles.arff,1,1,active,ARFF,45,4,5,4,63,74,0,0,62,1,0.195120811,0.057042599,FALSE
278,278,meta_instanceincremental.arff,1,1,active,ARFF,54,4,3,4,63,74,0,0,62,1,0.19716239,0.055958986,FALSE
279,279,meta_stream_intervals.arff,1,1,active,ARFF,23021,11,73,11,75,45164,0,0,74,1,4.759301901,0.131197691,FALSE
285,285,flags,1,2,active,ARFF,60,14,4,8,30,194,0,0,2,28,0.251449108,0.067997694,FALSE
287,287,wine_quality,1,94,active,ARFF,,,,0,12,6497,0,0,12,0,0.286714792,0.050597191,FALSE
293,293,covertype,2,167,active,Sparse_ARFF,297711,2,283301,2,55,581012,0,0,54,1,21.7964499,0.995016098,FALSE
294,294,satellite_image,1,94,active,ARFF,,,,0,37,6435,0,0,37,0,0.443728447,0.063997507,FALSE
296,296,Ailerons,1,167,active,ARFF,,,,0,41,13750,0,0,41,0,0.970999241,0.058995485,FALSE
298,298,coil2000,1,94,active,ARFF,,,,0,86,9822,0,0,86,0,0.777961016,0.069004774,FALSE
299,299,libras_move,1,94,active,ARFF,,,,0,91,360,0,0,91,0,0.254024506,0.061996222,FALSE
300,300,isolet,1,94,active,ARFF,300,26,298,26,618,7797,0,0,617,1,8.878544092,0.202999592,FALSE
301,301,ozone_level,1,94,active,ARFF,,1688,,0,73,2536,0,0,1,72,1.299589396,0.26699996,FALSE
307,307,vowel,2,2,active,ARFF,90,15,90,11,13,990,0,0,10,3,0.20600009,0.058000088,FALSE
308,308,puma32H,1,2,active,ARFF,,,,0,33,8192,0,0,33,0,0.843001127,0.074022055,FALSE
310,310,mammography,1,94,active,ARFF,10923,2,260,2,7,11183,0,0,6,1,0.418027163,0.054022312,FALSE
311,311,oil_spill,1,94,active,ARFF,896,2,41,2,50,937,0,0,49,1,0.331352472,0.054901123,FALSE
312,312,scene,1,94,active,ARFF,1976,2,431,2,300,2407,0,0,294,6,1.445371628,0.105765104,FALSE
313,313,spectrometer,1,94,active,ARFF,55,531,1,48,103,531,0,0,100,3,0.312005758,0.071899891,FALSE
315,315,us_crime,1,94,active,ARFF,,,,0,128,1994,1871,39202,127,0,0.473988771,0.07499361,FALSE
316,316,yeast_ml8,1,94,active,ARFF,2383,2,34,2,117,2417,0,0,103,14,0.650060892,0.080036163,FALSE
327,327,bridges,3,2,active,ARFF,44,54,10,6,13,105,35,61,3,10,0.206239462,0.060985088,FALSE
328,328,bridges,4,2,active,ARFF,44,54,10,6,13,105,35,61,0,13,0.267352819,0.060501099,FALSE
329,329,hayes-roth,1,2,active,ARFF,65,3,31,3,5,160,0,0,4,1,0.188025713,0.049021482,FALSE
333,333,monks-problems-1,1,2,active,ARFF,278,4,278,2,7,556,0,0,0,7,0.18899703,0.05497694,FALSE
